Feiertage;Art;von;bis;Beschreibung
Ostermontag;christ.evan./kath.;02.04.2018;;Ostermontag ist die Fortsetzung des Tages, an dem Jesus Christus den Tod überwand. Der Feiertag bezieht sich auf eine ganz bestimmte Bibelstelle, in der die Emmaus-Jünger aus ihrer Sicht von der Auferstehung Christi erzählen. Laut Lukasevangelium trafen zwei Jünger auf dem Weg nach Emmaus einen Unbekannten. Erst später erkannten sie ihn als Christus und verkündeten in Jerusalem die Auferstehung des Herrn. Somit ist der Ostermontag in erster Linie eine Ergänzung zum Ostersonntag: Der Emmausgang, auch Emmaus-Osterspaziergang genannt, erinnert noch immer an diese Geschichte. In vielen Regionen werden die Feste bunt und fröhlich gefeiert. Es werden Bräuche gepflegt, die auf dem Gang der Jünger nach Emmaus gründen. In manchen Gemeinden ziehen die Gläubigen zum Beispiel von der Pfarrkirche zu einer Kapelle.
Welt-Autismus-Tag;säkular;02.04.2018;;Autismus wird als eine angeborene, unheilbare Wahrnehmungs- und Informationsverarbeitungsstörung des Gehirns beschrieben, die sich schon im frühen Kindesalter bemerkbar macht. Da Autismus eine nicht sichtbare Behinderung ist, ist es wichtig Betroffene anzuhören und ihre individuellen Erfahrungen mit Barrieren aufzunehmen, um allgemeine Zugänglichkeit und einen Abbau von Barrieren zu erreichen. Am Welt-Autismus-Tag 2015 fanden zahlreiche Aktionen statt, u. a. wurden öffentliche Gebäude blau angestrahlt, um Autismus aufmerksam zu machen.
Gründonnerstag;christ.ortho./Altorient.;05.04.2018;;"Am Abend des Gründonnerstags gedenken Christen besonders des letzten Abendmahls Jesu mit seinen Jüngern am Vorabend der
Kreuzigung. In diesem Mahl nimmt Jesus seinen Tod bereits voraus und trägt seinen Jüngern auf, das Mahl in diesem Sinne zu seinem
Gedächtnis immer wieder zu feiern. Auch erinnert der Gründonnerstag an die Nacht, in der Jesus verraten und gefangen genommen
wurde."
Karfreitag;christ.ortho./Altorient;06.04.2018;;"Dies ist der Tag der Kreuzigung und des Todes Jesu. Christen erinnern sich der Leiden und des Todes Jesu und glauben, dass durch
den Tod des Gottessohnes auch ihr Tod überwunden wurde. Für evangelische Christen gilt der Karfreitag vielfach als höchster Feiertag.
Er wird als stiller Feiertag begangen. Früher war der Karfreitag ein Tag des strengen Fastens, bis heute wird in vielen katholischen
Familien Fisch gegessen."
Ostersonntag;christ.ortho./Altorient;08.04.2018;;"Die christliche Gemeinde feiert die Auferstehung Jesu Christi von den Toten, in der der Tod überwunden ist. Ostern ist ein Freudenfest
und das christliche Hauptfest. Jeder Sonntag im Kirchenjahr feiert dieses Osterfest. Ostern ist das Fest der Taufe, und in der Osternacht
werden viele Menschen getauft."
Ostermontag;christ.ortho./Altorient;09.04.2018;;Ostermontag ist die Fortsetzung des Tages, an dem Jesus Christus den Tod überwand. Der Feiertag bezieht sich auf eine ganz bestimmte Bibelstelle, in der die Emmaus-Jünger aus ihrer Sicht von der Auferstehung Christi erzählen. Laut Lukasevangelium trafen zwei Jünger auf dem Weg nach Emmaus einen Unbekannten. Erst später erkannten sie ihn als Christus und verkündeten in Jerusalem die Auferstehung des Herrn. Somit ist der Ostermontag in erster Linie eine Ergänzung zum Ostersonntag: Der Emmausgang, auch Emmaus-Osterspaziergang genannt, erinnert noch immer an diese Geschichte. In vielen Regionen werden die Feste bunt und fröhlich gefeiert. Es werden Bräuche gepflegt, die auf dem Gang der Jünger nach Emmaus gründen. In manchen Gemeinden ziehen die Gläubigen zum Beispiel von der Pfarrkirche zu einer Kapelle.
Weißer Sonntag;christ.evan./kath.;08.04.2018;;Der Weiße Sonntag, auch Barmherzigkeitssonntag genannt, ist der Sonntag nach Ostern. Der Ursprung der Bezeichnung Weißer Sonntag ist nicht gewiss. Wahrscheinlich hängt er mit den weißen Taufgewändern zusammen, die in der frühen Kirche von den in der Osternacht Getauften bis zu diesem Tag getragen wurden. In der katholischen Kirche ist der Weiße Sonntag seit dem 18. Jahrhundert der Tag für die feierliche Erstkommunion der Kinder.
Hanamatsuri - Buddhas Geburt (Japan);buddhistisch;08.04.2018;;"Höchstes Fest in allen buddhistischen Ländern. Es wird zum Vollmond des vierten Monats begangen. Das Fest wird in Erinnerung an
Geburt, Erwachen und vollkommenes Erlöschen Buddhas gefeiert. Dieser Tag wird mit aufwendigen heiligen Zeremonien und
Meditationen begangen: Den im Tempel stehenden Buddhafiguren werden Blumengaben gebracht, Räucherwerk wird als Zeichen der
Vergänglichkeit und inneren Reinigung vor den Altären abgebrannt. An diesem Feiertag wird Gebefreudigkeit durch reichliches Spenden
zum Beispiel an die Klöster geübt, Arme werden öffentlich gespeist, Tiere nicht geschlachtet und Gefangene begnadigt. Jeder Gläubige
achtet zu diesem Feiertag besonders die fünf Tugendregeln des Buddhismus: kein Lebewesen zu töten, nicht zu stehlen, Enthaltsamkeit
in Taten und Gedanken walten zu lassen, nicht zu lügen und keine berauschenden Mittel zu sich zu nehmen. In Japan wird das
Geburtsfest Buddhas immer am 8. April begangen und auch Kambutsue genannt. Dabei wird ein großes Blumenfest veranstaltet. Es gibt
Umzüge mit vielen Festwagen, die Menschen schmücken sich mit Kimonos in besonders leuchtenden Farben. Oft ist ein Festwagen mit
einem weißen Elefanten versehen, der das Buddha Kind in einer Sänfte auf dem Rücken trägt. In anderen Ländern wechselt das Datum
des Feiertages nach dem Mondkalender."
Vesakh;buddhistisch;08.04.2018;;"Höchstes Fest in allen buddhistischen Ländern. Es wird zum Vollmond des vierten Monats begangen. Das Fest wird in Erinnerung an
Geburt, Erwachen und vollkommenes Erlöschen Buddhas gefeiert. Dieser Tag wird mit aufwendigen heiligen Zeremonien und
Meditationen begangen: Den im Tempel stehenden Buddhafiguren werden Blumengaben gebracht, Räucherwerk wird als Zeichen der
Vergänglichkeit und inneren Reinigung vor den Altären abgebrannt. An diesem Feiertag wird Gebefreudigkeit durch reichliches Spenden
zum Beispiel an die Klöster geübt, Arme werden öffentlich gespeist, Tiere nicht geschlachtet und Gefangene begnadigt. Jeder Gläubige
achtet zu diesem Feiertag besonders die fünf Tugendregeln des Buddhismus: kein Lebewesen zu töten, nicht zu stehlen, Enthaltsamkeit
in Taten und Gedanken walten zu lassen, nicht zu lügen und keine berauschenden Mittel zu sich zu nehmen. In Japan wird das
Geburtsfest Buddhas immer am 8. April begangen und auch Kambutsue genannt. Dabei wird ein großes Blumenfest veranstaltet. Es gibt
Umzüge mit vielen Festwagen, die Menschen schmücken sich mit Kimonos in besonders leuchtenden Farben. Oft ist ein Festwagen mit
einem weißen Elefanten versehen, der das Buddha Kind in einer Sänfte auf dem Rücken trägt. In anderen Ländern wechselt das Datum
des Feiertages nach dem Mondkalender."
Internationaler Tag der Roma;säkular;08.04.2018;;Der Internationale Tag der Roma macht auf die Situation der Roma, insbesondere deren Diskriminierung und Verfolgung, aufmerksam und feiert zugleich die Kultur dieser ethnischen Minderheit. Das Datum 8. April erinnert an die Anfänge der Roma-Bürgerrechtsbewegung mit dem Ersten Welt-Roma-Kongress, der am 8. April 1971 in London stattfand. Auf dem Kongress wurde unter anderem die vielfach als diskriminierend empfundene Fremdbezeichnung „Gypsy“ bzw. „Zigeuner“ zugunsten der Eigenbezeichnung „Roma“ verworfen. Außerdem wurden auf dem Kongress mit der Flagge der Roma und der Hymne der Roma zwei wichtige Symbole der weltweiten Roma-Bürgerrechtsbewegung angenommen. 
Jom haScho'a (Nationalfeiertag);säkular;11.04.2018;12.04.2018;Jom haScho'a ist ein israelischer Nationalfeiertag. Er erinnert an die Opfer der Shoa (des Holocausts) sowie an alle Beteiligten des jüdischen Widerstands. Der Gedenktag ist der 27. Tag des jüdischen Monats Nisan. Wie alle jüdischen Feiertage beginnt er am Sonnenuntergang des Vortages und dauert bis zum Sonnenuntergang des Folgetages. Das Datum wurde am 21. April 1951 durch das israelische Parlament festgelegt. Nachdem der Feiertag zunächst durch die Bevölkerung wenig Berücksichtigung im öffentlichen Leben fand, erließ die Knesset 1959 ein „Gesetz zum Tag des Gedenkens“, welches dem Feiertag seinen bis heute gültigen Charakter verlieh. Dies wird besonders von den Medien aufgegriffen, deren Beiträge in diesem Zeitraum besonders von Trauer und Gedenken geprägt sind. Am Vorabend werden in der zentralen Gedenkstätte Israels Yad Vashem sechs Fackeln angezündet. Sie symbolisieren die rund sechs Millionen Juden, die der Shoa zum Opfer fielen. Sowohl abends als auch morgens finden Gedenkveranstaltungen statt. Um 10.00 Uhr morgens heulen im ganzen Land für zwei Minuten die Sirenen. Die meisten Menschen verharren dann schweigend im Gedenken an die Opfer der Shoa, der Straßen- und Schienenverkehr kommt in diesen zwei Minuten zum Erliegen. Auch in anderen Staaten wird ein Holocaust-Gedenktag begangen, größtenteils aber an einem anderen Datum.
Songkran - Wasserfest (Theravada, Neujahr);buddhistisch;13.04.2018;;Songkran ist das traditionelle Neujahrsfest der Tai-Völker nach dem thailändischen Mondkalender. Es ist heute auf den 13. bis 15. April datiert. Früher hatte es kein festes Datum und fand ursprünglich zur Frühlings-Tagundnachtgleiche statt (zwischen 19. und 21. März), ist dann aber infolge der Präzession der Erdachse zum heutigen Termin gewandert. Am Abend des 12. April werden Häuser und Wohnungen geputzt. Morgens am 13. April begeben sich die Familien in die Wats und opfern dort Reis, Früchte und andere Speisen. Anschließend werden am Nachmittag die dortigen Buddha-Figuren und der Vorsteher des Wat „gebadet“, indem sie mit Wasser begossen werden. In vielen Städten, wie zum Beispiel in Chiang Mai werden dann die Buddha-Statuen in einem Umzug durch die Stadt gefahren, um anderen Gläubigen die Gelegenheit zu geben, die Statuen ebenfalls mit Wasser zu begießen.
Himmelfahrt des Propheten Mohammed (Fsmi) / ???? ??????? / Lailat al Miraj / Miraç Kandili ;islamisch;13.04.2018;14.04.2018;"Die Muslime feiern in der Nacht des 27. Radschabs (das ist die Nacht vom 22. auf den 23. April 2017) die Himmelsreise des Propheten
Mohammad (Fsmi) (siehe Koran 17/1). Das Wunder der Himmelsreise besteht aus zwei Schritten: der nächtlichen Reise des Propheten
von Mekka nach Jerusalem (Isra) und der anschließenden Himmelfahrt (Miradsch)."
Roter Mittwoch der Yeziden / Çar?ema Sor / Jesidisches Neujahr;yezidisch;14.04.2018;;Der Festlegende zufolge hat an diesem Tag Gott dem Engel Melek Taus den Auftrag gegeben, die Erde zu erschaffen und für alle Lebewesen bewohnbar zu machen. Die Jesiden richten an diesem Tag ihre Hauseingänge mit prächtigem Blumenschmuck her und färben oder bemalen Hühnereier bunt. In Andenken an die Schöpfung der Erde werden von jesidischen Würdenträgern  Armbänder geflochten und an die Jesiden verteilt. Sinn des Festes ist es, den Himmelsboten um Beistand, Schutz und eine ertragreiche Ernte zu bitten.
Baisakhi/Vaisakhi;sikh;14.04.2018;;Einsetzung der Khalsa (Bruderschaft) durch Guru Gobind Singh. Die Khalsa sind die Reinen, die die Sikhs zu ihrem Glauben und ihrer Lebensführung geleitet haben. Außerdem machten sie sich laut Überlieferung zur Aufgabe, gegen Tyrannei und religiöse Intoleranz vorzugehen. An diesem Tag wird die Fahne, die auf jedem Sikh-Tempel flattert, ausgewechselt.
Ridvánfest;bahai;21.04.2018;02.05.2018;"Die Ridván-Zeit erstreckt sich über zwölf Tage. Sie ist die religiös bedeutsamste Zeit in der Bahá’í-Religion. Im Laufe dieser Tage im Jahre
1863 erklärte Bahá’u’lláh, der Stifter der Bahá’í-Religion, in einem Garten namens Ridván (arab.: Paradies) bei Baghdad, Irak, den dort
versammelten Menschen Seine göttliche Sendung. Innerhalb der Ridván-Zeit feiern die Bahá’í den 1., 9. und 12. Tag (Ende April bis Anfang Mai) als besonderen Feiertag. Bahá’í begehen alle Feiertage mit einer Andacht, die aus Lesungen von Texten und Gebeten der heiligen Schriften besteht. Ansonsten ist man in der Gestaltung der Feiertage frei. Freunde der Bahá’í und Gäste sind zur Teilnahme herzlich eingeladen."
Girls' Day;säkular;27.04.2018;;Am Girls'Day öffnen Unternehmen, Betriebe und Hochschulen in ganz Deutschland ihre Türen für Schülerinnen ab der 5. Klasse. Die Mädchen lernen dort Ausbildungsberufe und Studiengänge in IT, Handwerk, Naturwissenschaften und Technik kennen, in denen Frauen bisher eher selten vertreten sind. Oder sie begegnen weiblichen Vorbildern in Führungspositionen aus Wirtschaft und Politik. Der Girls'Day – Mädchenzukunftstag ist das größte Berufsorientierungsprojekt für Schülerinnen weltweit. Seit dem Start der Aktion im Jahr 2001 haben etwa 1,8 Millionen Mädchen teilgenommen. Im Jahr 2017 erkundeten rund 100.000 Mädchen Angebote in Technik und Naturwissenschaften. Junge Frauen in Deutschland verfügen über eine besonders gute Schulbildung. Trotzdem wählt mehr als die Hälfte der Mädchen aus nur zehn verschiedenen Ausbildungsberufen im dualen System – kein einziger naturwissenschaftlich-technischer ist darunter. Damit schöpfen sie ihre Berufsmöglichkeiten nicht voll aus und den Betrieben fehlt gerade in technischen und techniknahen Bereichen qualifizierter Nachwuchs. Der Girls'Day bietet deshalb allen Chancen für die Zukunft. (Weitere Informationen: https://www.girls-day.de/)
Boys' Day;säkular;27.04.2018;;Der Boys’Day ist ein bundesweiter Aktionstag zur Berufsorientierung und Lebensplanung für Jungen. Jungen haben vielfältige Interessen und Stärken. Geht es um die Berufswahl, entscheiden sie sich jedoch oft für die traditionell meist von Männern gewählt werden. Natürlich sind das interessante Berufe, aber es gibt noch viele andere Berufsfelder, in denen männliche Fachkräfte und Bezugspersonen gesucht werden und sehr erwünscht sind. Zum Beispiel im sozialen, erzieherischen oder pflegerischen Bereich – hier werden viele Nachwuchskräfte gebraucht und Männer sind hier in der Regel sehr willkommen. Neben der Berufserkundung können die Schüler am Boys’Day auch an pädagogischen Workshops teilnehmen. Hier geht es beispielsweise um männliche Rollenbilder, die Vielfalt der Lebensentwürfe und um die Frage, ob das Modell des männlichen Alleinverdieners nicht längst überholt ist. In den Workshops können die Jungs auch ihre sozialen Kompetenzen wie Team- und Konfliktfähigkeit stärken. Seit 2011 haben fast 225.000 Jungen an mehr als 37.700 Boys’Day-Angeboten teilgenommen. (Weitere Informationen: https://www.boys-day.de/)
Nrshimha Chaturdasi / Narasimha Jayanti;hinduistisch;28.04.2018;;"Fest zu Ehren Nrshimhadevas, der Halb-Mensch/Halb-Löwe-Inkarnation Vishnus. Der Königssohn Pralada hatte einen Vater, der selbst Gott sein wollte und nicht ertrug, dass sein Sohn nur Vishnu verehrte. Aus Neid wollte er Pralada töten. Nrshimhadeva erschien und tötete
den dämonischen Vater."
Nacht der Erlösung /  ???? ????????  / Lailat al Bara'a / Berat Kandili ;islamisch;30.04.2018;01.05.2018;"Die Muslime gedenken zwei Wochen vor Beginn des Ramadan der Nacht der Erlösung, in der Gott der Überlieferung zufolge die
Betenden mit Segnungen überhäuft. In dieser Nacht sprach der Prophet Mohammad (Fsmi) folgendes Bittgebet aus: „Mein Herr! Ich
suche Zuflucht zu Deinem Wohlgefallen, vor Deinem Zorn, zu Deiner Vergebung, vor Deiner Strafe.“ Es ist die Nacht vom 9. auf den 10.
Mai 2017."
Walpurgisnacht;säkular;30.04.2018;;Die Walpurgisnacht ist ein traditionelles nord- und mitteleuropäisches Fest am 30. April. Der Name leitet sich von der heiligen Walburga ab, deren Gedenktag bis ins Mittelalter am Tag ihrer Heiligsprechung am 1. Mai gefeiert wurde. Als „Tanz in den Mai“ hat sie wegen der Gelegenheit zu Tanz und Geselligkeit am Vorabend des Maifeiertags auch als urbanes, modernes Festereignis Eingang in private und kommerzielle Veranstaltungen gefunden. Traditionell gilt die Nacht vom 30.  April auf den 1. Mai als die Nacht, in der die Hexen insbesondere auf dem Blocksberg (eigentlich „Brocken“), aber auch an anderen erhöhten Orten, ein großes Fest abhielten. Viele Walpurgisriten leben in  Maibräuchen fort. Der Maibaum, meist eine Birke, ist zugleich Fruchtbarkeitssymbol und Darsteller des Weltenbaums. Zu Walpurgis werden traditionell die Maibäume aus dem Wald in den Ort geholt, um sie der Liebsten vor das Haus zu stellen. In der Dorfmitte wird um den Baum getanzt. Der Baum symbolisiert so die Fruchtbarkeit der Natur, die auf diese Weise zu den Menschen gebracht wird.
Tag der Arbeit;säkular;01.05.2018;;Der Erste Mai wird als Tag der Arbeit, Tag der Arbeiterbewegung oder auch als Maifeiertag bezeichnet. Dass der 1. Mai ein Feiertag in Deutschland ist, geht zurück auf das Jahr 1886. Damals begann in den USA am ersten Maitag ein mehrtägiger Generalstreik, um den Achtstundentag durchzusetzen. In Chicago versammelten sich Tausende Arbeiter auf dem Haymarket. Nach zwei Tagen begann die Lage zu eskalieren, die Polizei tötete mehrere Streikposten, auch einige Polizisten kamen ums Leben. Bei einer Protestkundgebung am nächsten Tag warf ein Unbekannter eine Bombe. Die Polizisten gerieten in Panik und schossen um sich, zahlreiche Menschen starben.  Auf dem Gründungskongress der Zweiten Internationale 1889 wurde zum Gedenken an die Opfer des Haymarket Riot der 1. Mai als „Kampftag der Arbeiterbewegung“ ausgerufen. Am 1. Mai 1890 wurde zum ersten Mal dieser „Protest- und Gedenktag“ mit Massenstreiks und Massendemonstrationen in der ganzen Welt begangen. Der Internationalismus wurde zum Grundgedanken des Maifeiertags. Der 1. Mai ist in der Bundesrepublik Deutschland ein gesetzlicher Feiertag. In Nordrhein-Westfalen wird der erste Mai staatlicherseits als Tag des Friedens und der Völkerversöhnung bzw. Tag des Bekenntnisses zu Freiheit und Frieden, sozialer Gerechtigkeit, Völkerversöhnung und Menschenwürde begangen. In vielen englischsprachigen Ländern besteht mit dem Labor Day ein Äquivalent zum Tag der Arbeit am 1. Mai.
Lag baOmer / ??? ?????;jüdisch;03.05.2018;;Der Ursprung des Festes geht auf den Bar-Kochba-Aufstand gegen die Römer 132–135 n. Chr. zurück. Lag baOmer ist ein fröhliches Fest. Die verschiedenen einschränkenden Gebote der Trauerzeit, die für die Tage zwischen Pessach und Schawuot gelten, sind an diesem Tage aufgehoben. Kinder und Erwachsene veranstalten Picknicks und versammeln sich um Lagerfeuer. Vor allem aber können an diesem Tag Hochzeiten durchgeführt werden. 
Hidirellez;alevitisch;05.05.2018;;Nach der Sage treffen sich H?z?r (der Schutzpatron des Landes) und Ilyas (der Schutzpatron der Meere) in der Nacht vom 5. auf den 6. Mai auf der Erde. In dieser Nacht werden Himmel und Erde eins, und die Kraft der Schöpfung offenbart sich. Die Aleviten glauben, dass H?z?r und Ilyas das Wasser der Unsterblichkeit (ab-? hayat) tranken. Aus diesem Glauben heraus bitten viele Menschen an diesem Tag Gott um Gesundheit und Genesung.
Europ.Protesttag zur Gleichstellung von Menschen mit Behinderung;säkular;05.05.2018;;Der Europäische Protesttag für die Gleichstellung von Menschen mit Behinderung soll deutlich machen, dass es eines Europas für alle bedarf. Der Europäische Protesttag  trug  dazu bei, dass die Forderung nach der Aufnahme eines Benachteiligungsverbotes für Behinderte in das Grundgesetz und nach Gleichstellungsgesetzen für Behinderte auf die Tagesordnung kam. Demonstrationen, phantasievolle Aktionen, Diskussionsrunden und Unterschriftensammlungen sorgten dafür, dass das Thema der Gleichstellung behinderter Menschen in den Blickpunkt der öffentlichen Aufmerksamkeit gelangte. Die europaweiten Aktionen führten letztendlich zur Aufnahme von Antidiskriminierungsbestimmungen in den Amsterdamer Verträgen. Mittlerweile beschäftigt die UN Menschenrechtskonvention immer mehr Menschen mit Behinderungen. In ihr sind wichtige Grundsätze und Rechte behinderter Menschen formuliert, die auch hier viele Verbesserungen bringen können. Viele Ziele der Protestbewegung wurden zwischenzeitlich erreicht, unter anderem auch die Gleichstellungsgesetze auf allen Ebenen sowie das Allgemeine Gleichstellungsgesetz, dennoch tritt die Bewegung weiter dafür ein, dass eine umfassende Inklusion von behinderten Menschen von der Wiege bis zur Bahre erreicht wird. Sie sieht sich in der Verantwortung weiterhin für die Menschenrechte und Würde behinderter Menschen zu kämpfen. 
Sankt Georgsfest der Roma;christ.evan./kath.;06.05.2018;;Die Verehrung Georgs begann im Vorderen Orient sowie im frühchristlichen Ägypten und Äthiopien. Von den Roma auf der Balkanhalbinsel und der Türkei wird der Georgstag als einer der wichtigsten Feiertage begangen, der die Grenze zwischen Winter und Sommer markiert. Dies gilt gleichermaßen für die christlichen wie auch für die muslimischen Roma. Der Georgstag wird je nach Region unterschiedlich gefeiert. Dem Fest ging in der Vergangenheit häufig eine mehrwöchige Fastenzeit voraus. Die Feierlichkeiten für das Fest beginnen üblicherweise bereits am Abend des 5. Mai mit einer Reinigung und einem gemeinsamen Abendessen. Die Häuser werden mit Blumen und blühenden Zweigen dekoriert. Als Höhepunkt der Feierlichkeiten treffen sich alle Roma eines Dorfes oder einer Stadt an einem zentralen Platz zu einem großen Fest mit Musik- und Tanzbegleitung.
Ende 2. Weltkrieges in Europa / Tag der Befreiung;säkular;08.05.2018;;Der 8. Mai ist als Tag der Befreiung in verschiedenen europäischen Ländern ein Gedenktag, an dem der bedingungslosen Kapitulation der Wehrmacht und damit des Endes des Zweiten Weltkrieges und der Befreiung vom Nationalsozialismus in Europa gedacht wird. Vor allem in englischsprachigen Ländern wird er VE-Day (Victory in Europe Day) genannt. In der DDR war er von 1950 bis 1967 und im Jahr 1985 (40. Jahrestag) gesetzlicher Feiertag. Bei den Verhandlungen im Hauptquartier der alliierten Streitkräfte in Reims wurde am 7. Mai die bedingungslose Kapitulation aller deutschen Streitkräfte vereinbart. Als Zeitpunkt für die Einstellung aller Kampfhandlungen in Europa wurde der 8. Mai, 23:01 Uhr festgelegt. Am 8. Mai erfolgte im sowjetischen Hauptquartier in Berlin-Karlshorst eine Ratifizierung der Kapitulationserklärung der Wehrmacht. In der Sowjetunion wurde am 9. Mai der Tag des Sieges als gesetzlicher Feiertag begangen, da der Waffenstillstand nach Moskauer Ortszeit erst am 9. Mai in Kraft trat. (Weitere Informationen: http://www.bpb.de/politik/hintergrund-aktuell/70190/8-mai-tag-der-befreiung-04-05-2006)
Christi Himmelfahrt;christ.evan./kath.;10.05.2018;;40 Tage lang ist Jesus seinen Jüngern nach der Auferstehung erschienen. Die Christen nehmen nun 40 Tage nach Ostern Abschied von
Vatertag;säkular;10.05.2018;;Der volkstümliche Vatertag wird in Deutschland an Christi Himmelfahrt begangen. Die heutige Form des „Vatertagfeierns“ kam Ende des 19. Jahrhunderts in Berlin und Umgebung auf und erfreut sich seitdem bei Männern großer Beliebtheit.
Muttertag;säkular;13.05.2018;;Der Muttertag ist ein Tag zu Ehren der Mutter und der Mutterschaft. Er hat sich seit 1914, beginnend in den Vereinigten Staaten, in der westlichen Welt etabliert. In Deutschland wurde der Muttertag 1922/23 vom Verband Deutscher Blumengeschäftsinhaber mit Plakaten „Ehret die Mutter“ in den Schaufenstern etabliert und als Tag der Blumenwünsche gefeiert. Der Muttertag ist nicht gesetzlich verankert.
Internationaler Tag der Familie;säkular;15.05.2018;;Der Internationale Tag der Familie ist ein offizieller Gedenktag der Vereinten Nationen. Er findet jährlich am 15. Mai statt.
Ramadan / islamisches Fasten / ????? / Ramazan Ay? ;islamisch;16.05.2018;25.06.2018;"Beginn des muslimischen Fastenmonats Ramadan. Das Fasten gehört zu den fünf Säulen des Islam. Erwachsene (ab der Pubertät) enthalten
sich an jedem Tag dieses Monats von Morgendämmerung bis Sonnenuntergang körperlicher Genüsse: Essen und Trinken,
Geschlechtsverkehr und Rauchen. Für Kranke und Reisende usw. gibt es Ausnahmen. Wer im Ramadan nicht fasten kann, holt die entsprechenden
Fasttage nach. Der Ramadan ist eine Zeit der inneren Einkehr, des sozialen Engagements und der persönlichen Läuterung.
Im Koran heisst es: „Der Ramadan ist der Monat, in dem der Koran als Rechtleitung für die Menschen sowie als Beweis der Leitung und
der Unterscheidung des Guten vom Bösen herabgesandt wurde. Wer von euch den Monat erlebt, soll daher in ihm fasten“ (Koran 2/185)."
Christi Himmelfahrt;christ.ortho./Altorient;17.05.2018;;40 Tage lang ist Jesus seinen Jüngern nach der Auferstehung erschienen. Die Christen nehmen nun 40 Tage nach Ostern Abschied von
Internationaler Tag gegen Homo-/Transphobie;säkular;17.05.2018;;Der Internationale Tag gegen Homophobie, Transphobie und Biphobie wird seit 2005 jährlich am 17. Mai von Homosexuellen und später auch Trans- und Bisexuellen als Aktionstag begangen, um durch Aktionen, Aufmerksamkeit auf die Diskriminierung und Bestrafung von Menschen hinzuweisen, die in ihrer sexuellen Orientierung oder Geschlechtsidentität von der Heteronormativität abweichen. Das Datum wurde zur Erinnerung an den 17. Mai 1990 gewählt, als die Weltgesundheitsorganisation beschloss, Homosexualität aus ihrem Diagnoseschlüssel für Krankheiten zu streichen. Im Unterschied dazu ist Transsexualität in dieser Klassifikation immer noch als psychische Störung eingestuft.
Schawuot / ?????? (jüdisch);jüdisch;19.05.2018;21.05.2018;"50 Tage nach dem Auszug aus Ägypten spricht Gott am Berg Sinai zum ganzen Volk, wo es auch die Gesetzestafeln erhält. Das Fest
steht insbesondere für die Einhaltung aller 613 in der Thora vorkommenden Ge- und Verbote. Üblicherweise wird zu diesem Anlass die
Nacht über gelernt sowie mindestens eine milchige Mahlzeit eingenommen."
Pfingstsonntag;christ.evan./kath.;20.05.2018;;"Am fünfzigsten Tag (griech.: Pentekoste = Pfingsten) nach Ostern endet die österliche Festzeit. Die Apostelgeschichte erzählt, dass an
diesem Tag die Anhänger Jesu in Jerusalem zusammengekommen waren, als der Geist Gottes auf sie ausgegossen wurde: Ein Brausen
kam vom Himmel und die Jünger konnten plötzlich den Menschen, die aus vielen Ländern nach Jerusalem gekommen waren, in ihren
Muttersprachen von der Auferweckung Jesu erzählen (so genanntes Pfingstwunder). 3.000 Menschen ließen sich taufen. So ist Pfingsten
auch das Fest der Entstehung der Kirche, das vielerorts mit ökumenischen Gottesdiensten gefeiert wird."
Tag der Begegnung;säkular;20.05.2018;;Der Tag der Begegnung hat sich zum größten inklusiven Familienfest für Menschen mit und ohne Handicap in Deutschland entwickelt und ist auch europaweit das einzige Fest seiner Art. Gemeinsam zeigen alle Gäste und Akteure, wie eine inklusive Gesellschaft gelebt wird, und feiern gemeinsam für ein besseres gesellschaftliches Miteinander. (Mehr Informationen: http://www.lvr.de/de/nav_main/derlvr/aktionen/tagderbegegnung/tagderbegegnung_1.jsp)
Pfingstmontag;christ.evan./kath.;21.05.2018;;"Am fünfzigsten Tag (griech.: Pentekoste = Pfingsten) nach Ostern endet die österliche Festzeit. Die Apostelgeschichte erzählt, dass an
diesem Tag die Anhänger Jesu in Jerusalem zusammengekommen waren, als der Geist Gottes auf sie ausgegossen wurde: Ein Brausen
kam vom Himmel und die Jünger konnten plötzlich den Menschen, die aus vielen Ländern nach Jerusalem gekommen waren, in ihren
Muttersprachen von der Auferweckung Jesu erzählen (so genanntes Pfingstwunder). 3.000 Menschen ließen sich taufen. So ist Pfingsten
auch das Fest der Entstehung der Kirche, das vielerorts mit ökumenischen Gottesdiensten gefeiert wird."
Welttag der kulturellen Vielfalt;säkular;21.05.2018;;Der Welttag der kulturellen Vielfalt für Dialog und Entwicklung ist ein Aktionstag der UNESCO, der jährlich am 21. Mai begangen wird. Er soll das öffentliche Bewusstsein für kulturelle Vielfalt stärken und die Werte kultureller Vielfalt besser verständlich machen. Kulturelle Vielfalt trägt zur Förderung der menschlichen Entwicklung zu Gunsten gegenwärtiger und künftiger Generationen bei. Der Welttag hebt den Beitrag von Kunst- und Kulturschaffenden zum interkulturellen Dialog und zum harmonischen Zusammenleben verschiedener Menschen und gesellschaftlicher Gruppen hervor. Der Welttag nimmt Bezug auf die Allgemeine Erklärung zur kulturellen Vielfalt der UNESCO von 2001. Diese versteht kulturelle Vielfalt als Quelle des Austauschs und der Erneuerung. (Weitere Informationen: http://www.unesco.de/kultur/welttage/welttag-kulturelle-vielfalt.html)
